"Code repositories / Application","Basis Tabel"
"Studiekeuzecheck","Medewerker"
"Studiekeuzecheck","Medewerker_PreCalculatedData"
"Studiekeuzecheck","Medewerkernaam"
"Studiekeuzecheck","NationaliteitGBA"
"Studiekeuzecheck","NationaliteitStudentachtige"
"Studiekeuzecheck","Onderwijsaanbod"
"Studiekeuzecheck","OnderwijsaanbodNietRegulier"
"Studiekeuzecheck","Onderwijsperiode"
"Studiekeuzecheck","Onderwijsproduct"
"Studiekeuzecheck","OnderwijsProductNietRegulier"
"Studiekeuzecheck","Onderwijsproducttype"
"Studiekeuzecheck","Opleidingsvariant"
"Studiekeuzecheck","Opleidingsvorm"
"Studiekeuzecheck","Organisatieonderdeel"
"Studiekeuzecheck","Organisatieonderdeel"
"Studiekeuzecheck","Organisatieonderdeel_PreCalculatedData"
"Studiekeuzecheck","Organisatieonderdeel_PreCalculatedData"
"Studiekeuzecheck","Product"
"Studiekeuzecheck","Sector"
"Studiekeuzecheck","Studentachtige"
"Studiekeuzecheck","Studentachtige_PreCalculatedData"
"Studiekeuzecheck","Studentachtigenaam"
"Studiekeuzecheck","StudiekeuzecheckIndicator"
"Studiekeuzecheck","StudiekeuzecheckIndicator"
"Studiekeuzecheck","StudieOvereenkomst"
"Studiekeuzecheck","StudieOvereenkomstNietRegulier"
"Studiekeuzecheck","TelefoonnummersoortStudentachtige"
"Studiekeuzecheck","TelefoonStudentachtige"
"Studiekeuzecheck","Vooropleiding"
"Studiekeuzecheck","VooropleidingDetail"
"WsWerving","Gebouw"
"WsWerving","Lesplaats"
"WsWerving","OnderwijsaanbodNietRegulier"
"WsWerving","OnderwijsProductNietRegulier"
"WsWerving","OnderwijsproductNietRegulierInteressegebied"
"WsWerving","Opleidingsvorm"
"WsWerving","Organisatieonderdeel"
"WsWerving","Organisatieonderdeel_PreCalculatedData"
"WsWerving","PostcodeDE"
"jouwfontys","AdresStudentachtige"
"jouwfontys","AdresStudentachtige"
"jouwfontys","Croho"
"jouwfontys","Croho"
"jouwfontys","EmailAdres"
"jouwfontys","EmailAdres"
"jouwfontys","EUMAccount"
"jouwfontys","EUMAccount"
"jouwfontys","Gebouw"
"jouwfontys","Lesplaats"
"jouwfontys","Lesplaats"
"jouwfontys","Onderwijsaanbod"
"jouwfontys","Onderwijsaanbod"
"jouwfontys","OnderwijsaanbodNietRegulier"
"jouwfontys","OnderwijsaanbodNietRegulier"
"jouwfontys","Onderwijsproduct"
"jouwfontys","Onderwijsproduct"
"jouwfontys","OnderwijsProductNietRegulier"
"jouwfontys","OnderwijsProductNietRegulier"
"jouwfontys","Onderwijsproducttype"
"jouwfontys","Onderwijsproducttype"
"jouwfontys","Opleidingsvariant"
"jouwfontys","Opleidingsvariant"
"jouwfontys","Opleidingsvorm"
"jouwfontys","Opleidingsvorm"
"jouwfontys","Organisatieonderdeel"
"jouwfontys","Organisatieonderdeel"
"jouwfontys","Organisatieonderdeel_PreCalculatedData"
"jouwfontys","Organisatieonderdeel_PreCalculatedData"
"jouwfontys","Product"
"jouwfontys","Product"
"jouwfontys","Sector"
"jouwfontys","Sector"
"jouwfontys","Studentachtige"
"jouwfontys","Studentachtige"
"jouwfontys","Studentachtige_PreCalculatedData"
"jouwfontys","Studentachtige_PreCalculatedData"
"jouwfontys","Studentachtigenaam"
"jouwfontys","Studentachtigenaam"
"jouwfontys","StudieOvereenkomst_intern_PreCalculatedData"
"jouwfontys","StudieOvereenkomst_intern_PreCalculatedData"
"jouwfontys","Vooropleiding"
"jouwfontys","Vooropleiding"
"jouwfontys","VooropleidingDetail"
"jouwfontys","VooropleidingDetail"
